No,date,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,season
20,2013-03-01,19,10.0,16.0,7.0,29.0,500.0,50.0,3.2,1027.2,-18.9,0.0,NE,2.1,Wanshouxigong,Spring
21,2013-03-01,20,11.0,12.0,6.0,29.0,500.0,47.0,2.6,1028.2,-18.8,0.0,NE,1.9,Wanshouxigong,Spring
22,2013-03-01,21,10.0,12.0,6.0,31.0,500.0,44.0,2.2,1029.2,-17.9,0.0,ENE,1.1,Wanshouxigong,Spring
23,2013-03-01,22,10.0,13.0,11.0,39.0,500.0,34.0,2.0,1029.5,-18.1,0.0,ENE,2.0,Wanshouxigong,Spring
24,2013-03-01,23,15.0,15.0,14.0,41.0,500.0,31.0,1.0,1029.6,-18.4,0.0,ENE,1.8,Wanshouxigong,Spring
25,2013-03-02,0,5.0,10.0,11.0,35.0,400.0,39.0,0.5,1030.2,-18.3,0.0,ENE,1.4,Wanshouxigong,Spring
26,2013-03-02,1,3.0,8.0,9.0,33.0,400.0,40.0,-0.3,1030.2,-17.5,0.0,E,1.0,Wanshouxigong,Spring
27,2013-03-02,2,3.0,6.0,9.0,29.0,300.0,44.0,-1.2,1029.6,-17.0,0.0,E,0.8,Wanshouxigong,Spring
28,2013-03-02,3,3.0,6.0,9.0,29.0,400.0,43.0,-2.9,1029.7,-14.9,0.0,N,0.1,Wanshouxigong,Spring
29,2013-03-02,4,3.0,6.0,8.0,30.0,400.0,41.0,-2.4,1029.8,-15.5,0.0,N,0.2,Wanshouxigong,Spring
30,2013-03-02,5,8.0,8.0,6.0,15.0,300.0,57.0,-1.2,1029.2,-17.9,0.0,NNE,1.0,Wanshouxigong,Spring
31,2013-03-02,6,8.0,8.0,10.0,31.0,400.0,37.0,-1.2,1028.5,-17.9,0.0,WNW,1.5,Wanshouxigong,Spring
32,2013-03-02,7,3.0,6.0,16.0,61.0,600.0,8.0,-1.1,1029.2,-16.1,0.0,WSW,1.2,Wanshouxigong,Spring
33,2013-03-02,8,4.0,7.0,17.0,53.0,500.0,17.0,0.0,1028.8,-16.8,0.0,W,1.3,Wanshouxigong,Spring
34,2013-03-02,9,4.0,11.0,17.0,50.0,500.0,23.0,1.1,1028.9,-16.8,0.0,SW,1.0,Wanshouxigong,Spring
35,2013-03-02,10,5.0,14.0,22.0,52.0,600.0,20.0,1.9,1028.4,-17.1,0.0,SW,2.0,Wanshouxigong,Spring
36,2013-03-02,11,13.0,18.0,20.0,61.0,1000.0,15.0,2.5,1027.5,-17.7,0.0,SW,2.1,Wanshouxigong,Spring
37,2013-03-02,12,17.0,25.0,19.0,47.0,700.0,29.0,3.3,1026.2,-17.6,0.0,SSW,1.8,Wanshouxigong,Spring
38,2013-03-02,13,24.0,28.0,18.0,35.0,600.0,43.0,4.2,1024.8,-16.8,0.0,SE,1.0,Wanshouxigong,Spring
39,2013-03-02,14,18.0,27.0,23.0,36.0,800.0,44.0,4.1,1024.1,-16.3,0.0,SSW,1.3,Wanshouxigong,Spring
40,2013-03-02,15,34.0,37.0,44.0,43.0,1100.0,40.0,3.9,1023.5,-15.9,0.0,SSW,1.9,Wanshouxigong,Spring
64,2013-03-03,15,114.0,169.0,43.0,58.0,1300.0,55.0,15.0,1009.6,-12.3,0.0,WSW,2.8,Wanshouxigong,Spring
65,2013-03-03,16,95.0,146.0,29.0,46.0,1000.0,60.0,13.6,1009.8,-9.6,0.0,WSW,3.2,Wanshouxigong,Spring
66,2013-03-03,17,77.0,130.0,36.0,57.0,1000.0,50.0,11.6,1010.4,-8.9,0.0,WSW,1.5,Wanshouxigong,Spring
70,2013-03-03,21,147.0,191.0,23.0,80.0,1100.0,2.0,5.1,1012.8,-12.4,0.0,N,0.2,Wanshouxigong,Spring
71,2013-03-03,22,62.0,68.0,14.0,73.0,800.0,2.0,3.5,1012.9,-10.9,0.0,WSW,1.0,Wanshouxigong,Spring
72,2013-03-03,23,27.0,41.0,20.0,89.0,1600.0,2.0,9.6,1013.8,-11.7,0.0,NE,1.9,Wanshouxigong,Spring
73,2013-03-04,0,33.0,46.0,21.0,85.0,2000.0,2.0,9.6,1014.8,-11.7,0.0,NNE,2.6,Wanshouxigong,Spring
74,2013-03-04,1,31.0,36.0,31.0,73.0,1200.0,2.0,8.8,1015.6,-11.8,0.0,NE,2.1,Wanshouxigong,Spring
75,2013-03-04,2,23.0,31.0,10.0,25.0,500.0,44.0,7.8,1016.1,-11.6,0.0,NE,2.1,Wanshouxigong,Spring
76,2013-03-04,3,10.0,27.0,5.0,17.0,400.0,56.0,7.6,1015.9,-11.7,0.0,NNE,2.8,Wanshouxigong,Spring
77,2013-03-04,4,8.0,16.0,12.0,32.0,500.0,37.0,4.8,1016.8,-12.2,0.0,NE,0.4,Wanshouxigong,Spring
78,2013-03-04,5,9.0,22.0,15.0,23.0,400.0,44.0,1.9,1017.4,-11.6,0.0,E,1.0,Wanshouxigong,Spring
79,2013-03-04,6,4.0,24.0,18.0,32.0,600.0,33.0,1.0,1018.1,-10.5,0.0,NW,0.0,Wanshouxigong,Spring
80,2013-03-04,7,8.0,22.0,22.0,53.0,900.0,11.0,6.6,1019.0,-11.1,0.0,SW,0.8,Wanshouxigong,Spring
81,2013-03-04,8,9.0,28.0,32.0,61.0,1100.0,8.0,9.0,1019.8,-11.1,0.0,NE,2.0,Wanshouxigong,Spring
82,2013-03-04,9,12.0,29.0,22.0,37.0,600.0,36.0,10.7,1019.8,-12.7,0.0,ENE,2.5,Wanshouxigong,Spring
83,2013-03-04,10,11.0,13.0,15.0,25.0,500.0,51.0,11.6,1019.7,-12.7,0.0,NNE,2.5,Wanshouxigong,Spring
84,2013-03-04,11,12.0,14.0,11.0,19.0,400.0,60.0,13.1,1019.0,-13.0,0.0,NE,1.4,Wanshouxigong,Spring
85,2013-03-04,12,15.0,16.0,12.0,19.0,400.0,63.0,14.3,1018.1,-12.9,0.0,SE,0.8,Wanshouxigong,Spring
86,2013-03-04,13,13.0,16.0,11.0,18.0,400.0,67.0,14.5,1017.0,-13.7,0.0,E,1.3,Wanshouxigong,Spring
87,2013-03-04,14,8.0,13.0,9.0,20.0,400.0,69.0,15.8,1016.1,-12.6,0.0,SW,2.5,Wanshouxigong,Spring
88,2013-03-04,15,10.0,15.0,11.0,25.0,400.0,67.0,15.1,1015.4,-14.2,0.0,S,2.0,Wanshouxigong,Spring
89,2013-03-04,16,12.0,18.0,10.0,28.0,400.0,75.0,14.6,1015.0,-13.6,0.0,SSW,2.3,Wanshouxigong,Spring
90,2013-03-04,17,23.0,26.0,8.0,28.0,500.0,87.0,12.8,1015.2,-11.7,0.0,WSW,2.9,Wanshouxigong,Spring
91,2013-03-04,18,29.0,38.0,13.0,43.0,500.0,63.0,11.2,1015.7,-11.6,0.0,WSW,2.3,Wanshouxigong,Spring
92,2013-03-04,19,32.0,66.0,16.0,65.0,700.0,32.0,9.5,1015.9,-10.6,0.0,SSW,1.5,Wanshouxigong,Spring
93,2013-03-04,20,40.0,92.0,25.0,78.0,1100.0,14.0,7.8,1016.1,-10.6,0.0,WSW,0.6,Wanshouxigong,Spring
94,2013-03-04,21,56.0,104.0,38.0,88.0,1399.0,4.0,6.9,1016.3,-10.4,0.0,S,2.2,Wanshouxigong,Spring
95,2013-03-04,22,71.0,111.0,35.0,83.0,1399.0,7.0,6.6,1016.0,-10.2,0.0,S,1.3,Wanshouxigong,Spring
99,2013-03-05,2,107.0,138.0,43.0,56.0,1399.0,87.0,2.3,1013.5,-7.9,0.0,W,0.9,Wanshouxigong,Spring
100,2013-03-05,3,114.0,130.0,4.0,59.0,1599.5,87.0,-0.4,1013.0,-7.7,0.0,WSW,1.1,Wanshouxigong,Spring
101,2013-03-05,4,125.0,137.0,5.0,66.5,1800.0,87.0,-1.1,1012.9,-8.1,0.0,W,0.9,Wanshouxigong,Spring
182,2013-03-08,13,156.0,174.0,41.0,72.0,1399.0,94.0,22.9,997.4,-3.5,0.0,SW,2.7,Wanshouxigong,Spring
187,2013-03-08,18,56.0,69.0,38.0,46.0,600.0,86.0,8.7,999.6,-1.7,0.0,E,0.8,Wanshouxigong,Spring
188,2013-03-08,19,43.0,72.0,35.0,49.0,900.0,86.0,8.6,999.6,-0.7,0.0,E,2.2,Wanshouxigong,Spring
189,2013-03-08,20,55.0,72.0,37.0,54.0,1100.0,86.0,7.5,999.2,-2.3,0.0,E,0.6,Wanshouxigong,Spring
190,2013-03-08,21,49.0,52.0,33.0,42.0,1100.0,86.0,7.4,998.9,-2.1,0.0,E,1.7,Wanshouxigong,Spring
191,2013-03-08,22,50.0,60.0,38.0,68.0,1600.0,86.0,6.7,998.1,-3.6,0.0,E,2.5,Wanshouxigong,Spring
195,2013-03-09,2,61.0,75.0,33.0,60.0,2299.0,86.0,2.4,993.1,-3.7,0.0,WNW,1.5,Wanshouxigong,Spring
196,2013-03-09,3,68.0,81.0,5.0,79.0,2399.5,86.0,1.6,992.0,-3.5,0.0,W,1.0,Wanshouxigong,Spring
197,2013-03-09,4,70.0,80.0,5.0,77.0,2500.0,86.0,1.0,991.1,-3.7,0.0,W,0.8,Wanshouxigong,Spring
209,2013-03-09,16,20.0,161.0,3.0,11.0,300.0,81.0,11.1,1009.7,-18.3,0.0,NNW,4.0,Wanshouxigong,Spring
210,2013-03-09,17,18.0,119.0,3.0,13.0,300.0,81.0,9.7,1011.7,-18.4,0.0,N,1.8,Wanshouxigong,Spring
211,2013-03-09,18,17.0,85.0,3.0,11.0,300.0,81.0,8.1,1014.7,-18.7,0.0,N,3.7,Wanshouxigong,Spring
212,2013-03-09,19,13.0,76.0,3.0,16.0,300.0,81.0,7.0,1016.7,-18.8,0.0,NNW,1.9,Wanshouxigong,Spring
213,2013-03-09,20,15.0,52.0,5.0,18.0,400.0,81.0,6.0,1018.7,-18.8,0.0,N,2.2,Wanshouxigong,Spring
214,2013-03-09,21,12.0,35.0,9.0,19.0,300.0,81.0,5.3,1019.6,-18.6,0.0,NNE,2.6,Wanshouxigong,Spring
215,2013-03-09,22,16.0,21.0,6.0,18.0,400.0,81.0,4.6,1020.2,-18.4,0.0,N,1.8,Wanshouxigong,Spring
216,2013-03-09,23,3.0,7.0,4.0,16.0,400.0,81.0,1.8,1020.4,-15.7,0.0,NE,0.5,Wanshouxigong,Spring
217,2013-03-10,0,11.0,12.0,4.0,22.0,400.0,81.0,4.1,1020.1,-18.2,0.0,ENE,1.3,Wanshouxigong,Spring
218,2013-03-10,1,3.0,6.0,6.0,26.0,500.0,81.0,2.6,1020.3,-18.8,0.0,NE,1.4,Wanshouxigong,Spring
219,2013-03-10,2,3.0,9.0,9.0,40.0,600.0,81.0,-0.4,1020.3,-15.9,0.0,SSW,0.6,Wanshouxigong,Spring
220,2013-03-10,3,3.0,7.0,12.0,38.0,700.0,81.0,-1.9,1020.7,-12.6,0.0,WSW,1.2,Wanshouxigong,Spring
221,2013-03-10,4,16.0,22.0,11.0,60.0,1200.0,81.0,-1.0,1021.4,-13.6,0.0,WNW,1.0,Wanshouxigong,Spring
222,2013-03-10,5,24.0,25.0,22.0,77.0,1200.0,81.0,-3.2,1021.6,-14.3,0.0,WNW,0.5,Wanshouxigong,Spring
223,2013-03-10,6,32.0,36.0,26.0,78.0,1800.0,81.0,-2.6,1022.1,-13.8,0.0,WNW,1.5,Wanshouxigong,Spring
224,2013-03-10,7,28.0,37.0,25.0,75.0,1800.0,81.0,3.2,1022.8,-15.5,0.0,SW,2.0,Wanshouxigong,Spring
225,2013-03-10,8,18.0,28.0,33.0,68.0,1300.0,81.0,5.5,1023.1,-15.7,0.0,SW,4.3,Wanshouxigong,Spring
226,2013-03-10,9,29.0,32.0,40.0,50.0,1000.0,81.0,6.7,1022.6,-16.0,0.0,SW,3.6,Wanshouxigong,Spring
227,2013-03-10,10,30.0,54.0,28.0,37.0,1000.0,81.0,8.3,1021.7,-16.1,0.0,S,3.1,Wanshouxigong,Spring
228,2013-03-10,11,32.0,42.0,24.0,26.0,800.0,81.0,9.6,1021.2,-15.1,0.0,SW,3.7,Wanshouxigong,Spring
230,2013-03-10,13,22.0,34.0,22.0,21.0,500.0,81.0,10.7,1019.1,-14.9,0.0,SW,4.1,Wanshouxigong,Spring
231,2013-03-10,14,22.0,27.0,16.0,18.0,400.0,79.0,11.2,1018.2,-14.5,0.0,SW,3.0,Wanshouxigong,Spring
232,2013-03-10,15,37.0,64.0,18.0,19.0,500.0,85.0,11.0,1017.8,-14.7,0.0,SW,4.0,Wanshouxigong,Spring
233,2013-03-10,16,39.0,53.0,22.0,23.0,500.0,85.0,10.5,1017.5,-13.6,0.0,SW,3.5,Wanshouxigong,Spring
234,2013-03-10,17,46.0,67.0,25.0,29.0,500.0,85.0,9.2,1017.4,-13.3,0.0,SSW,1.4,Wanshouxigong,Spring
235,2013-03-10,18,51.0,72.0,26.0,34.0,600.0,85.0,8.2,1017.7,-12.9,0.0,SW,1.3,Wanshouxigong,Spring
236,2013-03-10,19,66.0,86.0,30.0,54.0,900.0,85.0,6.7,1018.0,-11.5,0.0,SSW,1.7,Wanshouxigong,Spring
237,2013-03-10,20,69.0,100.0,31.0,66.0,1000.0,85.0,5.9,1018.3,-10.8,0.0,S,1.2,Wanshouxigong,Spring
238,2013-03-10,21,66.0,87.0,27.0,60.0,900.0,85.0,4.8,1018.4,-10.5,0.0,SSW,0.9,Wanshouxigong,Spring
239,2013-03-10,22,78.0,103.0,36.0,58.0,1100.0,85.0,4.4,1017.8,-10.1,0.0,SSE,0.9,Wanshouxigong,Spring
240,2013-03-10,23,87.0,110.0,41.0,61.0,1200.0,85.0,3.3,1017.9,-10.0,0.0,S,1.3,Wanshouxigong,Spring
274,2013-03-12,9,120.0,88.0,13.0,73.0,2100.0,47.0,4.0,1005.9,2.5,0.0,E,0.9,Wanshouxigong,Spring
276,2013-03-12,11,137.0,91.0,17.0,74.0,1899.0,47.0,4.6,1005.7,2.9,0.0,SW,0.7,Wanshouxigong,Spring
277,2013-03-12,12,136.0,97.0,19.0,70.0,1800.0,47.0,5.3,1005.8,3.3,0.0,WSW,0.5,Wanshouxigong,Spring
278,2013-03-12,13,152.0,95.0,24.0,72.0,1899.0,47.0,5.5,1005.7,3.0,0.0,NE,2.4,Wanshouxigong,Spring
279,2013-03-12,14,133.0,79.0,25.0,69.0,1700.0,44.0,6.2,1006.2,3.2,0.0,NE,2.8,Wanshouxigong,Spring
280,2013-03-12,15,124.0,89.0,23.0,65.0,1700.0,32.0,6.4,1006.9,3.5,0.0,NNE,1.5,Wanshouxigong,Spring
281,2013-03-12,16,136.0,97.0,24.0,67.0,1800.0,22.0,7.2,1007.2,3.8,0.0,W,1.6,Wanshouxigong,Spring
282,2013-03-12,17,135.0,75.0,33.0,71.0,1800.0,22.0,6.9,1008.2,3.5,0.0,E,1.4,Wanshouxigong,Spring
283,2013-03-12,18,137.0,106.0,33.0,77.0,1700.0,4.0,4.8,1010.2,2.8,0.0,SSW,0.4,Wanshouxigong,Spring
284,2013-03-12,19,134.0,90.0,30.0,80.0,1700.0,4.0,4.3,1011.6,2.5,0.0,WNW,0.8,Wanshouxigong,Spring
285,2013-03-12,20,126.0,95.0,25.0,77.0,1700.0,4.0,5.3,1013.5,3.1,0.0,N,0.5,Wanshouxigong,Spring
286,2013-03-12,21,141.0,99.0,19.0,76.0,2100.0,4.0,4.4,1014.7,2.3,0.0,E,1.0,Wanshouxigong,Spring
288,2013-03-12,23,111.0,28.0,20.0,67.0,1700.0,4.0,5.0,1016.6,-6.0,0.0,ENE,1.4,Wanshouxigong,Spring
289,2013-03-13,0,27.0,27.0,32.0,30.0,700.0,26.0,4.8,1017.3,-8.0,0.0,NE,1.9,Wanshouxigong,Spring
290,2013-03-13,1,10.0,10.0,18.0,19.0,500.0,48.0,4.2,1017.7,-9.6,0.0,N,4.0,Wanshouxigong,Spring
291,2013-03-13,2,9.0,9.0,18.0,16.0,500.0,54.0,3.4,1018.1,-9.6,0.0,NE,2.8,Wanshouxigong,Spring
292,2013-03-13,3,9.0,9.0,6.0,19.0,450.0,54.0,2.9,1018.7,-9.4,0.0,NNE,2.4,Wanshouxigong,Spring
293,2013-03-13,4,12.0,12.0,4.0,19.0,400.0,54.0,2.3,1019.7,-9.9,0.0,NNE,2.0,Wanshouxigong,Spring
294,2013-03-13,5,11.0,11.0,10.0,32.0,500.0,54.0,1.6,1020.3,-10.3,0.0,NE,1.3,Wanshouxigong,Spring
295,2013-03-13,6,12.0,12.0,18.0,36.0,600.0,54.0,1.6,1021.3,-9.1,0.0,NE,0.9,Wanshouxigong,Spring
296,2013-03-13,7,11.0,11.0,25.0,51.0,700.0,54.0,3.9,1022.7,-10.2,0.0,NE,1.5,Wanshouxigong,Spring
297,2013-03-13,8,3.0,7.0,23.0,54.0,700.0,54.0,4.8,1023.8,-11.3,0.0,NW,2.5,Wanshouxigong,Spring
298,2013-03-13,9,18.0,8.0,22.0,43.0,600.0,54.0,5.1,1024.4,-11.5,0.0,E,3.1,Wanshouxigong,Spring
299,2013-03-13,10,16.0,16.0,13.0,26.0,500.0,54.0,6.1,1024.2,-12.5,0.0,ENE,2.0,Wanshouxigong,Spring
300,2013-03-13,11,14.0,6.0,9.0,19.0,400.0,59.0,6.8,1023.5,-14.1,0.0,NE,3.1,Wanshouxigong,Spring
301,2013-03-13,12,20.0,6.0,7.0,17.0,400.0,66.0,7.3,1022.8,-13.6,0.0,ENE,2.2,Wanshouxigong,Spring
302,2013-03-13,13,20.0,6.0,7.0,16.0,400.0,70.0,7.9,1022.1,-13.7,0.0,SSE,1.7,Wanshouxigong,Spring
303,2013-03-13,14,12.0,6.0,7.0,14.0,400.0,74.0,8.6,1021.5,-13.8,0.0,SSW,2.6,Wanshouxigong,Spring
304,2013-03-13,15,15.0,6.0,7.0,15.0,400.0,75.0,9.0,1021.0,-13.4,0.0,WNW,1.1,Wanshouxigong,Spring
305,2013-03-13,16,21.0,6.0,7.0,19.0,400.0,75.0,8.5,1021.2,-11.5,0.0,S,2.4,Wanshouxigong,Spring
306,2013-03-13,17,26.0,28.0,9.0,34.0,600.0,75.0,6.8,1021.6,-10.9,0.0,SW,2.6,Wanshouxigong,Spring
307,2013-03-13,18,34.0,36.0,13.0,44.0,700.0,75.0,5.7,1022.3,-9.7,0.0,S,2.1,Wanshouxigong,Spring
308,2013-03-13,19,36.0,41.0,15.0,54.0,800.0,75.0,4.8,1022.9,-10.1,0.0,SSW,0.8,Wanshouxigong,Spring
309,2013-03-13,20,31.0,32.0,14.0,56.0,900.0,75.0,4.3,1023.3,-9.8,0.0,SSW,1.2,Wanshouxigong,Spring
310,2013-03-13,21,46.0,31.0,16.0,57.0,1100.0,75.0,3.9,1023.6,-8.5,0.0,SSW,1.5,Wanshouxigong,Spring
311,2013-03-13,22,53.0,34.0,23.0,68.0,1200.0,75.0,3.0,1023.5,-7.2,0.0,SSE,1.5,Wanshouxigong,Spring
312,2013-03-13,23,55.0,86.0,29.0,61.0,1200.0,75.0,2.8,1023.7,-4.4,0.0,SSW,1.8,Wanshouxigong,Spring
313,2013-03-14,0,73.0,106.0,23.0,66.0,1500.0,75.0,1.5,1023.7,-4.0,0.0,SSW,1.9,Wanshouxigong,Spring
314,2013-03-14,1,64.0,67.0,17.0,61.0,1700.0,75.0,0.9,1023.8,-4.3,0.0,SSW,1.1,Wanshouxigong,Spring
315,2013-03-14,2,68.0,39.0,19.0,58.0,1800.0,75.0,0.8,1023.4,-5.2,0.0,S,1.4,Wanshouxigong,Spring
316,2013-03-14,3,74.0,37.0,20.0,60.0,1500.0,75.0,0.8,1023.0,-5.7,0.0,SSE,0.8,Wanshouxigong,Spring
317,2013-03-14,4,72.0,39.0,21.0,57.0,1300.0,75.0,1.2,1023.0,-5.5,0.0,ENE,1.3,Wanshouxigong,Spring
318,2013-03-14,5,75.0,54.0,24.0,60.0,1600.0,75.0,1.3,1023.3,-5.6,0.0,E,1.0,Wanshouxigong,Spring
319,2013-03-14,6,83.0,62.0,26.0,64.0,2000.0,75.0,1.1,1023.3,-4.4,0.0,NE,1.9,Wanshouxigong,Spring
320,2013-03-14,7,76.0,53.0,27.0,62.0,1800.0,75.0,1.1,1023.8,-4.4,0.0,ENE,2.4,Wanshouxigong,Spring
321,2013-03-14,8,60.0,64.0,29.0,59.0,1800.0,75.0,1.6,1023.9,-4.3,0.0,NNE,2.1,Wanshouxigong,Spring
322,2013-03-14,9,63.0,66.0,34.0,60.0,1700.0,75.0,3.0,1023.5,-4.5,0.0,NNW,0.8,Wanshouxigong,Spring
323,2013-03-14,10,68.0,88.0,44.0,63.0,1800.0,75.0,4.5,1022.4,-4.3,0.0,ENE,0.7,Wanshouxigong,Spring
338,2013-03-15,1,139.0,145.0,38.0,84.0,2100.0,50.0,0.0,1016.3,-1.6,0.0,WSW,0.5,Wanshouxigong,Spring
339,2013-03-15,2,142.0,143.0,34.0,82.0,2399.0,50.0,0.0,1015.8,-1.8,0.0,NE,0.6,Wanshouxigong,Spring
389,2013-03-17,4,206.0,178.0,4.0,70.0,2000.0,101.0,5.8,1007.3,1.1,0.0,WNW,0.1,Wanshouxigong,Spring
390,2013-03-17,5,196.0,160.0,44.0,63.0,1899.0,101.0,5.6,1006.6,1.1,0.0,SW,0.7,Wanshouxigong,Spring
413,2013-03-18,4,33.0,132.0,17.0,23.0,400.0,107.0,10.9,996.3,-10.0,0.0,NW,2.5,Wanshouxigong,Spring
415,2013-03-18,6,10.0,71.0,8.0,8.0,300.0,107.0,8.2,999.5,-11.2,0.0,NNE,2.9,Wanshouxigong,Spring
417,2013-03-18,8,3.0,6.0,8.0,19.0,400.0,107.0,7.0,1002.1,-13.9,0.0,NE,3.7,Wanshouxigong,Spring
421,2013-03-18,12,6.0,6.0,3.0,10.0,400.0,107.0,11.4,1002.2,-18.1,0.0,NE,4.2,Wanshouxigong,Spring
423,2013-03-18,14,7.0,6.0,6.0,11.0,300.0,107.0,11.7,999.9,-16.8,0.0,ENE,2.1,Wanshouxigong,Spring
424,2013-03-18,15,15.0,6.0,5.0,12.0,300.0,107.0,12.0,999.5,-15.6,0.0,S,2.0,Wanshouxigong,Spring
425,2013-03-18,16,11.0,6.0,5.0,15.0,300.0,80.0,10.6,999.4,-15.0,0.0,S,2.9,Wanshouxigong,Spring
427,2013-03-18,18,35.0,126.0,12.0,33.0,600.0,63.0,6.5,1000.9,-3.7,0.0,S,4.0,Wanshouxigong,Spring
428,2013-03-18,19,70.0,151.0,29.0,46.0,1100.0,32.0,5.0,1002.4,-4.3,0.0,SW,2.7,Wanshouxigong,Spring
429,2013-03-18,20,51.0,81.0,19.0,34.0,800.0,39.0,4.0,1003.0,-4.5,0.0,S,3.9,Wanshouxigong,Spring
430,2013-03-18,21,51.0,81.0,19.0,34.0,850.0,40.698,3.0,1003.1,-4.5,0.0,S,3.0,Wanshouxigong,Spring
431,2013-03-18,22,33.0,44.0,13.0,31.0,900.0,35.0,2.6,1003.5,-4.8,0.0,ESE,1.9,Wanshouxigong,Spring
432,2013-03-18,23,33.0,44.0,13.0,31.0,900.0,32.0,2.3,1004.4,-4.9,0.0,ESE,1.5,Wanshouxigong,Spring
433,2013-03-19,0,34.0,36.0,13.0,33.0,1000.0,28.0,2.1,1004.7,-5.5,0.0,ENE,1.2,Wanshouxigong,Spring
434,2013-03-19,1,18.0,35.0,15.0,35.0,800.0,34.0,2.2,1005.2,-5.5,0.0,ESE,1.2,Wanshouxigong,Spring
435,2013-03-19,2,16.0,27.0,17.0,29.0,800.0,22.0,2.0,1004.6,-5.2,0.0,E,1.5,Wanshouxigong,Spring
436,2013-03-19,3,30.0,34.0,14.0,38.0,800.0,20.0,1.3,1004.8,-5.2,0.0,E,1.2,Wanshouxigong,Spring
437,2013-03-19,4,31.0,32.0,13.0,39.0,700.0,21.0,1.2,1004.6,-3.7,0.0,NNE,1.7,Wanshouxigong,Spring
438,2013-03-19,5,22.0,22.0,10.0,37.0,600.0,26.0,0.7,1004.7,-3.6,0.0,NE,1.4,Wanshouxigong,Spring
439,2013-03-19,6,7.0,17.0,10.0,33.0,600.0,23.0,0.8,1005.3,-3.7,0.0,W,0.5,Wanshouxigong,Spring
440,2013-03-19,7,8.0,23.0,9.0,35.0,600.0,19.0,2.2,1006.2,-3.7,0.0,NE,1.6,Wanshouxigong,Spring
441,2013-03-19,8,28.0,46.0,14.0,43.0,700.0,17.0,3.4,1006.4,-3.0,0.0,NNW,1.3,Wanshouxigong,Spring
442,2013-03-19,9,40.0,64.0,18.0,47.0,800.0,12.0,3.0,1007.0,-3.4,0.0,NNE,2.3,Wanshouxigong,Spring
443,2013-03-19,10,45.0,63.0,19.0,42.0,800.0,18.0,3.4,1007.2,-3.6,0.0,NE,1.0,Wanshouxigong,Spring
444,2013-03-19,11,59.0,67.0,14.0,41.0,800.0,19.0,4.0,1006.8,-2.6,0.0,E,1.5,Wanshouxigong,Spring
445,2013-03-19,12,58.0,58.0,13.0,37.0,900.0,19.0,3.9,1006.5,-1.5,0.0,NNE,2.1,Wanshouxigong,Spring
